ITERATION	TESTCASE	DESCRIPTION	TRACKID	STARTDATE	ENDDATE	TASK	COUNTERS	VALUE(ms)	SIZE	NAME	
1	PLM	05.00 - Switch to "Gallery View"	0	09.51.40,00	09.51.40,02	RESOURCE	NETWORK	16	27982	http://vmtestbaring:20200/server/PLM/Images/Icon/PRJIMG,63,0	
1	PLM	05.00 - Switch to "Gallery View"	0	09.51.40,00	09.51.40,02	RESOURCE	NETWORK	13	27937	http://vmtestbaring:20200/server/PLM/Images/Icon/PRJIMG,54,0	
1	PLM	05.00 - Switch to "Gallery View"	0	09.51.40,01	09.51.40,02	RESOURCE	NETWORK	10	23673	http://vmtestbaring:20200/server/PLM/Images/Icon/PRJIMG,69,0	
1	PLM	05.00 - Switch to "Gallery View"	0	09.51.40,01	09.51.40,02	RESOURCE	NETWORK	13	13258	http://vmtestbaring:20200/server/PLM/Images/Icon/PRJIMG,55,0	
1	PLM	05.00 - Switch to "Gallery View"	0	09.51.40,01	09.51.40,02	RESOURCE	NETWORK	12	3111	http://vmtestbaring:20200/server/PLM/Images/Icon/PRJIMG,132,0	
1	PLM	05.00 - Switch to "Gallery View"	0	09.51.40,02	09.51.40,02	RESOURCE	NETWORK	8	16891	http://vmtestbaring:20200/server/PLM/Images/Icon/PRJIMG,388,10	
1	PLM	05.00 - Switch to "Gallery View"	0	09.51.40,02	09.51.40,03	RESOURCE	NETWORK	9	3111	http://vmtestbaring:20200/server/PLM/Images/Icon/PRJIMG,497,0	
1	PLM	05.00 - Switch to "Gallery View"	0	09.51.40,02	09.51.40,03	RESOURCE	NETWORK	10	3111	http://vmtestbaring:20200/server/PLM/Images/Icon/PRJIMG,498,0	
1	PLM	05.00 - Switch to "Gallery View"	0	09.51.40,03	09.51.40,04	RESOURCE	NETWORK	9	3111	http://vmtestbaring:20200/server/PLM/Images/Icon/PRJIMG,499,0	
1	PLM	05.00 - Switch to "Gallery View"	0	09.51.40,03	09.51.40,04	RESOURCE	NETWORK	8	3111	http://vmtestbaring:20200/server/PLM/Images/Icon/PRJIMG,495,0	
1	PLM	05.00 - Switch to "Gallery View"	0	09.51.40,04	09.51.40,04	RESOURCE	NETWORK	8	3111	http://vmtestbaring:20200/server/PLM/Images/Icon/PRJIMG,500,0	
1	PLM	05.00 - Switch to "Gallery View"	0	09.51.40,04	09.51.40,05	RESOURCE	NETWORK	9	3111	http://vmtestbaring:20200/server/PLM/Images/Icon/PRJIMG,501,0	
1	PLM	05.00 - Switch to "Gallery View"	0	09.51.40,04	09.51.40,05	RESOURCE	NETWORK	8	13678	http://vmtestbaring:20200/server/PLM/Images/Icon/PRJIMG,128,0	
1	PLM	05.00 - Switch to "Gallery View"	0	09.51.40,05	09.51.40,06	RESOURCE	NETWORK	8	15798	http://vmtestbaring:20200/server/PLM/Images/Icon/PRJIMG,348,0	
1	PLM	05.00 - Switch to "Gallery View"	0	09.51.40,05	09.51.40,06	RESOURCE	NETWORK	11	3111	http://vmtestbaring:20200/server/PLM/Images/Icon/PRJIMG,56,0	
1	PLM	05.00 - Switch to "Gallery View"	0	09.51.40,06	09.51.40,07	RESOURCE	NETWORK	8	25533	http://vmtestbaring:20200/server/PLM/Images/Icon/PRJIMG,134,0	
1	PLM	05.00 - Switch to "Gallery View"	0	09.51.40,06	09.51.40,07	RESOURCE	NETWORK	9	3111	http://vmtestbaring:20200/server/PLM/Images/Icon/PRJIMG,137,0	
1	PLM	05.00 - Switch to "Gallery View"	0	09.51.40,06	09.51.40,07	RESOURCE	NETWORK	9	25643	http://vmtestbaring:20200/server/PLM/Images/Icon/PRJIMG,47,0	
